AverageTemperatureFahr,City,Latitude,Longitude
42.0674,Kherson,47.42N,31.97E
62.654,Kherson,47.42N,31.97E
65.8166,Kherson,47.42N,31.97E
72.8366,Kherson,47.42N,31.97E
69.1466,Kherson,47.42N,31.97E
56.8382,Kherson,47.42N,31.97E
50.9666,Kherson,47.42N,31.97E
39.0164,Kherson,47.42N,31.97E
34.8422,Kherson,47.42N,31.97E
21.2432,Kherson,47.42N,31.97E
24.7982,Kherson,47.42N,31.97E
38.8886,Kherson,47.42N,31.97E
48.695,Kherson,47.42N,31.97E
51.9062,Auckland,36.17S,175.03E
52.3886,Auckland,36.17S,175.03E
52.853,Auckland,36.17S,175.03E
52.5776,Auckland,36.17S,175.03E
54.8726,Auckland,36.17S,175.03E
56.6888,Auckland,36.17S,175.03E
59.846,Auckland,36.17S,175.03E
64.5908,Auckland,36.17S,175.03E
65.372,Auckland,36.17S,175.03E
64.9688,Auckland,36.17S,175.03E
59.927,Auckland,36.17S,175.03E
57.5042,Auckland,36.17S,175.03E
54.518,Auckland,36.17S,175.03E
53.1914,Auckland,36.17S,175.03E
52.8044,Auckland,36.17S,175.03E
53.3912,Auckland,36.17S,175.03E
54.7538,Auckland,36.17S,175.03E
57.317,Auckland,36.17S,175.03E
60.0296,Auckland,36.17S,175.03E
63.3578,Auckland,36.17S,175.03E
64.346,Auckland,36.17S,175.03E
63.6584,Auckland,36.17S,175.03E
61.5848,Auckland,36.17S,175.03E
58.0028,Auckland,36.17S,175.03E
54.842,Auckland,36.17S,175.03E
53.1554,Auckland,36.17S,175.03E
52.3094,Auckland,36.17S,175.03E
52.61,Auckland,36.17S,175.03E
57.407,Auckland,36.17S,175.03E
58.1558,Auckland,36.17S,175.03E
60.9206,Auckland,36.17S,175.03E
61.8422,Auckland,36.17S,175.03E
62.033,Auckland,36.17S,175.03E
62.1266,Auckland,36.17S,175.03E
59.801,Auckland,36.17S,175.03E
57.2828,Kiev,50.63N,31.69E
47.111,Kiev,50.63N,31.69E
35.2544,Kiev,50.63N,31.69E
31.2152,Kiev,50.63N,31.69E
24.1862,Kiev,50.63N,31.69E
13.4978,Kiev,50.63N,31.69E
23.7686,Kiev,50.63N,31.69E
40.262,Kiev,50.63N,31.69E
56.7842,Kiev,50.63N,31.69E
67.2998,Kiev,50.63N,31.69E
67.0532,Kiev,50.63N,31.69E
65.4584,Kiev,50.63N,31.69E
57.3836,Kiev,50.63N,31.69E
46.571,Kiev,50.63N,31.69E
30.2612,Kiev,50.63N,31.69E
26.0348,Kiev,50.63N,31.69E
20.0858,Kiev,50.63N,31.69E
18.167,Kiev,50.63N,31.69E
28.265,Kiev,50.63N,31.69E
46.5566,Kiev,50.63N,31.69E
54.6566,Kiev,50.63N,31.69E
64.1786,Kiev,50.63N,31.69E
68.792,Kiev,50.63N,31.69E
61.8764,Lvov,50.63N,24.08E
65.3324,Lvov,50.63N,24.08E
61.2536,Lvov,50.63N,24.08E
53.3516,Lvov,50.63N,24.08E
44.0546,Lvov,50.63N,24.08E
41.2808,Lvov,50.63N,24.08E
23.7902,Lvov,50.63N,24.08E
20.0282,Lvov,50.63N,24.08E
20.5358,Lvov,50.63N,24.08E
28.769,Lvov,50.63N,24.08E
40.4348,Lvov,50.63N,24.08E
59.6822,Lvov,50.63N,24.08E
60.8882,Lvov,50.63N,24.08E
62.3534,Lvov,50.63N,24.08E
61.2194,Lvov,50.63N,24.08E
54.7286,Lvov,50.63N,24.08E
52.8944,Lvov,50.63N,24.08E
32.1944,Lvov,50.63N,24.08E
25.7162,Lvov,50.63N,24.08E
